bg_id,county,state,cbsa,county_fips,state_fips,cbsa_fips,cbsa_type,updated,population,housing_units,land_acres,protected_acres,tribal_acres,zonable_acres,num_jurisdictions,num_published,num_haszoning,num_haszoning_missingdocs,zoned_acres,unzoned_acres,num_districts,primarily_residential_acres,nonresidential_acres,mixed_with_residential_acres,all_residential_acres,family1_allowed_acres,family1_hearing_acres,family1_prohibited_acres,family2_allowed_acres,family2_hearing_acres,family2_prohibited_acres,family3_allowed_acres,family3_hearing_acres,family3_prohibited_acres,family4_allowed_acres,family4_hearing_acres,family4_prohibited_acres,family1_only_acres,family1_mls_no_min_lot_size_acres,family1_mls_under_10k_sqft_acres,family1_mls_10k_to_19999_sqft_acres,family1_mls_20k_to_39999_sqft_acres,family1_mls_40k_to_79999_sqft_acres,family1_mls_80k_sqft_and_more_acres,family1_mls_varies_acres,adu_allowed_acres,adu_allowed_restricted_acres,adu_hearing_acres,adu_hearing_restricted_acres,adu_prohibited_acres,parking_required_acres,protected_pct,tribal_pct,zonable_pct,zoned_pct,unzoned_pct,primarily_residential_pct,nonresidential_pct,mixed_with_residential_pct,all_residential_pct,family1_allowed_pct,family1_hearing_pct,family1_prohibited_pct,family2_allowed_pct,family2_hearing_pct,family2_prohibited_pct,family3_allowed_pct,family3_hearing_pct,family3_prohibited_pct,family4_allowed_pct,family4_hearing_pct,family4_prohibited_pct,family1_only_pct,family1_mls_no_min_lot_size_pct,family1_mls_under_10k_sqft_pct,family1_mls_10k_to_19999_sqft_pct,family1_mls_20k_to_39999_sqft_pct,family1_mls_40k_to_79999_sqft_pct,family1_mls_80k_sqft_and_more_pct,family1_mls_varies_pct,adu_allowed_pct,adu_allowed_restricted_pct,adu_hearing_pct,adu_hearing_restricted_pct,adu_prohibited_pct,parking_required_pct
330019660002,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1173,453,178,11,0,167,2,2,2,0,122.47,44.53,4,104.34,0,18.13,122.47,122.47,0,0,51.27,0,71.2,0,51.17,71.3,0,51.17,71.3,71.2,0,18.03,104.18,0,0.16,0.1,0,0,0.16,0,122.31,0,122.47,6.18,0,93.82,68.8,25.02,85.2,0,14.8,100,100,0,0,41.86,0,58.14,0,41.78,58.22,0,41.78,58.22,58.14,0,14.72,85.07,0,0.13,0.08,0,0,0.13,0,99.87,0,100
330019660003,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,484,363,166,3,0,163,2,2,2,0,133.07,29.93,5,36.26,3.25,93.55,129.81,129.81,0,0,114.39,0,15.42,0,114.39,15.42,0,114.39,15.42,15.42,0,93.55,36.26,0,0,0,0,0,0,0,129.81,0,129.81,1.81,0,98.19,80.16,18.03,27.25,2.44,70.3,97.55,100,0,0,88.12,0,11.88,0,88.12,11.88,0,88.12,11.88,11.88,0,72.07,27.93,0,0,0,0,0,0,0,100,0,100
330019660004,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1790,784,264,0,0,264,1,1,1,0,228.12,35.88,5,180.6,3.67,43.85,224.45,224.45,0,0,47.37,0,177.07,0,47.37,177.07,0,47.37,177.07,177.07,0,21.44,180.6,0,0,0,22.41,0,0,0,224.45,0,224.45,0,0,100,86.41,13.59,79.17,1.61,19.22,98.39,100,0,0,21.1,0,78.89,0,21.1,78.89,0,21.1,78.89,78.89,0,9.55,80.46,0,0,0,9.98,0,0,0,100,0,100
330019660005,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1715,688,3375,549,0,2826,2,2,2,0,2716.36,109.64,7,2357.38,103.41,255.57,2612.95,2612.95,0,0,162.66,0,2450.29,0,162.66,2450.29,0,162.66,2450.29,2450.29,0,111.85,207.07,0,0,2150.39,143.65,0,0,0,2612.95,0,2612.95,16.27,0,83.73,80.48,3.25,86.78,3.81,9.41,96.19,100,0,0,6.23,0,93.77,0,6.23,93.77,0,6.23,93.77,93.77,0,4.28,7.92,0,0,82.3,5.5,0,0,0,100,0,100
330019661001,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1273,451,128,0,0,128,1,1,1,0,102.81,25.19,3,24.4,2.63,75.77,100.18,100.18,0,0,99.26,0,0.92,0,99.26,0.92,0,99.26,0.92,0.92,0,75.74,24.4,0,0,0,0.03,0,0,0,100.18,0,100.18,0,0,100,80.32,19.68,23.73,2.56,73.7,97.44,100,0,0,99.08,0,0.92,0,99.08,0.92,0,99.08,0.92,0.92,0,75.6,24.36,0,0,0,0.03,0,0,0,100,0,100
330019661002,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,980,741,567,92,0,474,1,1,1,0,412.25,62.75,4,280.71,10.14,121.4,402.11,402.11,0,0,76.5,0,325.61,0,76.5,325.61,0,76.5,325.61,325.61,0,48.47,280.71,0,0,0,72.93,0,0,0,402.11,0,402.11,16.23,0,83.6,72.71,11.07,68.09,2.46,29.45,97.54,100,0,0,19.02,0,80.98,0,19.02,80.98,0,19.02,80.98,80.98,0,12.05,69.81,0,0,0,18.14,0,0,0,100,0,100
330019661003,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,921,346,220,1,0,219,1,1,1,0,191.82,27.18,5,151.12,8.25,32.45,183.57,183.57,0,0,61.14,0,122.43,0,61.14,122.43,0,61.14,122.43,122.43,0,8.62,151.12,0,0,0,23.83,0,0,0,183.57,0,183.57,0.45,0,99.55,87.19,12.35,78.78,4.3,16.92,95.7,100,0,0,33.31,0,66.69,0,33.31,66.69,0,33.31,66.69,66.69,0,4.7,82.32,0,0,0,12.98,0,0,0,100,0,100
330019661004,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,600,456,2030,259,0,1770,2,2,2,0,1720.43,50.57,4,1696.9,0.46,23.07,1719.97,1719.97,0,0,0,0.01,1719.96,0,0,1719.97,0,0,1719.97,1719.97,0,0,435.79,0,0.01,1261.1,23.06,0,0,0,1719.97,0,1719.97,12.76,0,87.19,84.75,2.49,98.63,0.03,1.34,99.97,100,0,0,0,0,100,0,0,100,0,0,100,100,0,0,25.34,0,0,73.32,1.34,0,0,0,100,0,100
330019661005,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,391,830,1092,1,0,1091,2,2,2,0,1060.45,30.55,4,654.67,14.82,390.96,1045.63,1045.63,0,0,328.56,0.05,717.02,0,328.56,717.07,0,328.56,717.07,717.07,0,0,486.32,0,0.05,496.92,62.35,0,0,0,1045.63,0,1045.63,0.09,0,99.91,97.11,2.8,61.74,1.4,36.87,98.6,100,0,0,31.42,0,68.57,0,31.42,68.58,0,31.42,68.58,68.58,0,0,46.51,0,0,47.52,5.96,0,0,0,100,0,100
330019662001,Belknap County,New Hampshire,"Laconia, NH",33001,33,29060,micro,2026-07-01,1385,2270,2641,29,0,2612,3,3,3,0,2491.91,120.09,7,1424.83,205.46,861.62,2286.45,2286.45,0,0,1241.33,1.71,1043.41,0,1241.33,1045.12,0,1241.33,1045.12,1045.12,0,33.16,1324.75,0,1.71,787.58,139.25,0,1.71,0,2284.75,0,2286.45,1.1,0,98.9,94.35,4.55,57.18,8.25,34.58,91.75,100,0,0,54.29,0.07,45.63,0,54.29,45.71,0,54.29,45.71,45.71,0,1.45,57.94,0,0.07,34.45,6.09,0,0.07,0,99.93,0,100
